file	line	word	matched_stem	before_10	after_10
/home/maxime/Projects/dspy/docs/docs/api/index.md	3	functions	function	This section provides detailed information about DSPy's classes modules and	
/home/maxime/Projects/dspy/docs/docs/api/modules/CodeAct.md	47	function	function	dspy from dspy predict import CodeAct Define a simple tool	def factorial n int int Calculate the factorial of a
/home/maxime/Projects/dspy/docs/docs/api/modules/CodeAct.md	74	functions	function	question based on the collected information Limitations Only accepts pure	as tools no callable objects The following example does not
/home/maxime/Projects/dspy/docs/docs/api/modules/CodeAct.md	101	functions	function	exp i dspy CodeAct question answer tools exp All dependent	need to be passed to CodeAct Functions that depend on
/home/maxime/Projects/dspy/docs/docs/api/modules/CodeAct.md	103	Functions	function	exp All dependent functions need to be passed to CodeAct	that depend on other functions or classes not passed to
/home/maxime/Projects/dspy/docs/docs/api/modules/CodeAct.md	103	functions	function	to be passed to CodeAct Functions that depend on other	or classes not passed to CodeAct cannot be used The
/home/maxime/Projects/dspy/docs/docs/api/modules/CodeAct.md	103	functions	function	used The following example does not work because the tool	depend on other functions or classes that are not passed
/home/maxime/Projects/dspy/docs/docs/api/modules/CodeAct.md	103	functions	function	does not work because the tool functions depend on other	or classes that are not passed to CodeAct such as
/home/maxime/Projects/dspy/docs/docs/api/modules/CodeAct.md	103	secret_function	function	that are not passed to CodeAct such as Profile or	python NG from pydantic import BaseModel class Profile BaseModel name
/home/maxime/Projects/dspy/docs/docs/api/modules/CodeAct.md	116	parent_function	function	name str age int def age profile Profile return def	print Hi def child_function parent_function dspy CodeAct question answer tools
/home/maxime/Projects/dspy/docs/docs/api/modules/CodeAct.md	119	child_function	function	def age profile Profile return def parent_function print Hi def	parent_function dspy CodeAct question answer tools age child_function Instead the
/home/maxime/Projects/dspy/docs/docs/api/modules/CodeAct.md	120	parent_function	function	age profile Profile return def parent_function print Hi def child_function	dspy CodeAct question answer tools age child_function Instead the following
/home/maxime/Projects/dspy/docs/docs/api/modules/CodeAct.md	122	child_function	function	Hi def child_function parent_function dspy CodeAct question answer tools age	Instead the following example works since all necessary tool functions
/home/maxime/Projects/dspy/docs/docs/api/modules/CodeAct.md	125	functions	function	child_function Instead the following example works since all necessary tool	are passed to CodeAct python OK def parent_function print Hi
/home/maxime/Projects/dspy/docs/docs/api/modules/CodeAct.md	130	parent_function	function	necessary tool functions are passed to CodeAct python OK def	print Hi def child_function parent_function dspy CodeAct question answer tools
/home/maxime/Projects/dspy/docs/docs/api/modules/CodeAct.md	133	child_function	function	passed to CodeAct python OK def parent_function print Hi def	parent_function dspy CodeAct question answer tools parent_function child_function
/home/maxime/Projects/dspy/docs/docs/api/modules/CodeAct.md	134	parent_function	function	to CodeAct python OK def parent_function print Hi def child_function	dspy CodeAct question answer tools parent_function child_function
/home/maxime/Projects/dspy/docs/docs/api/modules/CodeAct.md	136	parent_function	function	print Hi def child_function parent_function dspy CodeAct question answer tools	child_function
/home/maxime/Projects/dspy/docs/docs/api/modules/CodeAct.md	136	child_function	function	Hi def child_function parent_function dspy CodeAct question answer tools parent_function	
