file	line	word	matched_stem	before_10	after_10
/home/maxime/Projects/dspy/docs/docs/api/modules/ProgramOfThought.md	1	ProgramOfThought	program	dspy	START_API_REF dspy ProgramOfThought handler python options members __call__ acall batch
/home/maxime/Projects/dspy/docs/docs/api/modules/ProgramOfThought.md	4	ProgramOfThought	program	dspy ProgramOfThought START_API_REF dspy	handler python options members __call__ acall batch deepcopy dump_state forward
/home/maxime/Projects/dspy/docs/docs/api/modules/RLM.md	3	programmatically	program	Recursive Language Model is a DSPy module that lets LLMs	explore large contexts through a sandboxed Python REPL Instead of
/home/maxime/Projects/dspy/docs/docs/api/modules/RLM.md	14	programmatic	program	in the LLM's context window effectively The task benefits from	exploration searching filtering aggregating chunking You need the LLM to
/home/maxime/Projects/dspy/docs/docs/api/optimizers/BetterTogether.md	3	program	program	by applying them in a configurable sequence allowing a student	to iteratively improve both its prompts and model parameters The
/home/maxime/Projects/dspy/docs/docs/api/optimizers/BetterTogether.md	29	program	program	sequence evaluating each intermediate result and returning the best performing	Here's how it works 1 Initialization with Custom Optimizers When
/home/maxime/Projects/dspy/docs/docs/api/optimizers/BetterTogether.md	66	program	program	shuffle_trainset_between_steps True The optimizer is run on the current student	The result is evaluated on the validation set The candidate
/home/maxime/Projects/dspy/docs/docs/api/optimizers/BetterTogether.md	68	program	program	The result is evaluated on the validation set The candidate	and score are recorded Since BetterTogether is a meta optimizer
/home/maxime/Projects/dspy/docs/docs/api/optimizers/BetterTogether.md	87	Program	program	trainset valset valset strategy mipro gepa mipro 3 Validation and	Selection BetterTogether can use a validation set in three ways
/home/maxime/Projects/dspy/docs/docs/api/optimizers/BetterTogether.md	95	program	program	no validation occurs After all optimization steps complete the best	is selected based on validation set availability With validation The
/home/maxime/Projects/dspy/docs/docs/api/optimizers/BetterTogether.md	97	program	program	is selected based on validation set availability With validation The	with the best score is returned with earlier programs winning
/home/maxime/Projects/dspy/docs/docs/api/optimizers/BetterTogether.md	97	programs	program	The program with the best score is returned with earlier	winning ties Without validation The latest program is returned If
/home/maxime/Projects/dspy/docs/docs/api/optimizers/BetterTogether.md	98	program	program	returned with earlier programs winning ties Without validation The latest	is returned If an optimization step fails The error is
/home/maxime/Projects/dspy/docs/docs/api/optimizers/BetterTogether.md	103	program	program	is logged with full traceback Optimization stops early The best	found so far is returned flag_compilation_error_occurred is set to True
/home/maxime/Projects/dspy/docs/docs/api/optimizers/BetterTogether.md	106	program	program	far is returned flag_compilation_error_occurred is set to True The returned	includes two additional attributes candidate_programs List of all evaluated programs
/home/maxime/Projects/dspy/docs/docs/api/optimizers/BetterTogether.md	108	candidate_programs	program	set to True The returned program includes two additional attributes	List of all evaluated programs with their scores and strategies
/home/maxime/Projects/dspy/docs/docs/api/optimizers/BetterTogether.md	108	programs	program	program includes two additional attributes candidate_programs List of all evaluated	with their scores and strategies sorted by score best first
/home/maxime/Projects/dspy/docs/docs/api/optimizers/BetterTogether.md	108	programs	program	first When an error occurs this contains all successfully evaluated	up to the point of failure flag_compilation_error_occurred Boolean indicating if
/home/maxime/Projects/dspy/docs/docs/api/optimizers/BetterTogether.md	120	program	program	argument cannot be included in optimizer_compile_args BetterTogether manages the student	for all optimizers See the compile method docstring for detailed
/home/maxime/Projects/dspy/docs/docs/api/optimizers/BetterTogether.md	157	programming	program	world application combining BetterTogether with GEPA DSPy Optimizers Overview learn	optimizers md
/home/maxime/Projects/dspy/docs/docs/api/optimizers/GEPA/GEPA_Advanced.md	7	program	program	GEPA optimization When GEPA identifies underperforming components in your DSPy	the instruction proposer analyzes execution traces feedback and failures to
/home/maxime/Projects/dspy/docs/docs/api/optimizers/GEPA/GEPA_Advanced.md	47	optimized_program	program	5 temperature 1 0 max_tokens 32000 api_key api_key auto medium	gepa compile student trainset examples When to Use Custom instruction_proposer
/home/maxime/Projects/dspy/docs/docs/api/optimizers/GEPA/GEPA_Advanced.md	326	program	program	The component_selector parameter controls which components predictors in your DSPy	are selected for optimization at each GEPA iteration Instead of
/home/maxime/Projects/dspy/docs/docs/api/optimizers/GEPA/GEPA_Advanced.md	388	program	program	in the current minibatch candidate_idx int Index of the current	candidate being optimized candidate dict str str Component name instruction
/home/maxime/Projects/dspy/docs/docs/api/optimizers/GEPA/overview.md	42	program	program	results are available in the detailed_results attribute of the optimized	returned by GEPA and has the following type START_API_REF dspy
/home/maxime/Projects/dspy/docs/docs/api/optimizers/GEPA/overview.md	60	gepa_ai_program	program	Usage Examples See GEPA usage tutorials in GEPA Tutorials tutorials	index md Inference Time Search GEPA can act as a
/home/maxime/Projects/dspy/docs/docs/api/optimizers/GEPA/overview.md	77	program	program	feedback targeting a chosen module and proposing a new instruction	text tailored to real observed failures and rich textual environmental
/home/maxime/Projects/dspy/docs/docs/api/optimizers/GEPA/overview.md	89	program	program	Summary 1 Initialize the candidate pool with the the unoptimized	2 Iterate Sample a candidate from Pareto frontier Sample a
/home/maxime/Projects/dspy/docs/docs/api/optimizers/GEPA/overview.md	128	gepa_ai_program	program	evolution pipeline used by dspy GEPA optimizer DSPy Tutorials tutorials	index md
/home/maxime/Projects/dspy/docs/docs/api/optimizers/InferRules.md	9	evaluate_program	program	dspy InferRules START_API_REF dspy InferRules handler python options members compile	format_examples get_params get_predictor_demos induce_natural_language_rules update_program_instructions show_source true show_root_heading true heading_level
/home/maxime/Projects/dspy/docs/docs/api/optimizers/InferRules.md	14	update_program_instructions	program	handler python options members compile evaluate_program format_examples get_params get_predictor_demos induce_natural_language_rules	show_source true show_root_heading true heading_level 2 docstring_style google show_root_full_path true
/home/maxime/Projects/dspy/docs/docs/api/optimizers/MIPROv2.md	25	program	program	show_object_full_path false separate_signature false inherited_members true END_API_REF Example Usage The	below shows optimizing a math program with MIPROv2 python import
/home/maxime/Projects/dspy/docs/docs/api/optimizers/MIPROv2.md	25	program	program	END_API_REF Example Usage The program below shows optimizing a math	with MIPROv2 python import dspy from dspy datasets gsm8k import
/home/maxime/Projects/dspy/docs/docs/api/optimizers/MIPROv2.md	44	program	program	Can choose between light medium and heavy optimization runs Optimize	print f Optimizing program with MIPROv2 gsm8k GSM8K optimized_program teleprompter
/home/maxime/Projects/dspy/docs/docs/api/optimizers/MIPROv2.md	45	program	program	medium and heavy optimization runs Optimize program print f Optimizing	with MIPROv2 gsm8k GSM8K optimized_program teleprompter compile dspy ChainOfThought question
/home/maxime/Projects/dspy/docs/docs/api/optimizers/MIPROv2.md	47	optimized_program	program	Optimize program print f Optimizing program with MIPROv2 gsm8k GSM8K	teleprompter compile dspy ChainOfThought question answer trainset gsm8k train Save
/home/maxime/Projects/dspy/docs/docs/api/optimizers/MIPROv2.md	52	program	program	compile dspy ChainOfThought question answer trainset gsm8k train Save optimize	for future use optimized_program save f optimized json How MIPROv2
/home/maxime/Projects/dspy/docs/docs/api/optimizers/MIPROv2.md	53	optimized_program	program	answer trainset gsm8k train Save optimize program for future use	save f optimized json How MIPROv2 works At a high
/home/maxime/Projects/dspy/docs/docs/api/optimizers/MIPROv2.md	58	program	program	examples and new instructions for each predictor in your LM	and then searching over these using Bayesian Optimization to find
/home/maxime/Projects/dspy/docs/docs/api/optimizers/MIPROv2.md	58	program	program	to find the best combination of these variables for your	If you want a visual explanation check out this twitter
/home/maxime/Projects/dspy/docs/docs/api/optimizers/MIPROv2.md	62	program	program	from your training set and run them through your LM	If the output from the program is correct for this
/home/maxime/Projects/dspy/docs/docs/api/optimizers/MIPROv2.md	62	program	program	them through your LM program If the output from the	is correct for this example it is kept as a
/home/maxime/Projects/dspy/docs/docs/api/optimizers/MIPROv2.md	64	program's	program	the training dataset 2 a generated summary of your LM	code and the specific predictor that an instruction is being
/home/maxime/Projects/dspy/docs/docs/api/optimizers/MIPROv2.md	66	program	program	instructions and demonstrations work best for each predictor in our	This works by running a series of num_trials trials where
/home/maxime/Projects/dspy/docs/docs/api/optimizers/MIPROv2.md	66	program	program	minibatch_full_eval_steps At the end of the optimization process the LM	with the set of prompts that performed best on the
/home/maxime/Projects/dspy/docs/docs/api/optimizers/SIMBA.md	24	optimized_program	program	true END_API_REF Example Usage python optimizer dspy SIMBA metric your_metric	optimizer compile your_program trainset your_trainset Save optimize program for future
/home/maxime/Projects/dspy/docs/docs/api/optimizers/SIMBA.md	24	your_program	program	Usage python optimizer dspy SIMBA metric your_metric optimized_program optimizer compile	trainset your_trainset Save optimize program for future use optimized_program save
/home/maxime/Projects/dspy/docs/docs/api/optimizers/SIMBA.md	26	program	program	metric your_metric optimized_program optimizer compile your_program trainset your_trainset Save optimize	for future use optimized_program save f optimized json How SIMBA
/home/maxime/Projects/dspy/docs/docs/api/optimizers/SIMBA.md	27	optimized_program	program	compile your_program trainset your_trainset Save optimize program for future use	save f optimized json How SIMBA works SIMBA Stochastic Introspective
/home/maxime/Projects/dspy/docs/docs/cheatsheet.md	9	Programs	program	This page will contain snippets for frequent usage patterns DSPy	Forcing fresh LM outputs DSPy caches LM calls Provide a
/home/maxime/Projects/dspy/docs/docs/cheatsheet.md	42	ProgramOfThought	program	the color of the sky pred generate_answer question question dspy	python pot dspy ProgramOfThought BasicQA question Sarah has 5 apples
/home/maxime/Projects/dspy/docs/docs/cheatsheet.md	45	ProgramOfThought	program	sky pred generate_answer question question dspy ProgramOfThought python pot dspy	BasicQA question Sarah has 5 apples She buys 7 more
/home/maxime/Projects/dspy/docs/docs/cheatsheet.md	51	ProgramOfThought	program	print f Question question print f Final Predicted Answer after	process result answer dspy ReAct python react_module dspy ReAct BasicQA
/home/maxime/Projects/dspy/docs/docs/cheatsheet.md	168	evaluate_program	program	factual factually_correct DSPy Evaluation python from dspy evaluate import Evaluate	Evaluate devset devset metric your_defined_metric num_threads NUM_THREADS display_progress True display_table
/home/maxime/Projects/dspy/docs/docs/cheatsheet.md	170	evaluate_program	program	devset devset metric your_defined_metric num_threads NUM_THREADS display_progress True display_table num_rows_to_display	your_dspy_program DSPy Optimizers LabeledFewShot python from dspy teleprompt import LabeledFewShot
/home/maxime/Projects/dspy/docs/docs/cheatsheet.md	170	your_dspy_program	program	devset metric your_defined_metric num_threads NUM_THREADS display_progress True display_table num_rows_to_display evaluate_program	DSPy Optimizers LabeledFewShot python from dspy teleprompt import LabeledFewShot labeled_fewshot_optimizer
