file	line	word	matched_stem	before_10	after_10
/home/maxime/Projects/dspy/docs/docs/api/evaluation/CompleteAndGrounded.md	21	named_sub_modules	module	deepcopy dump_state forward get_lm inspect_history load load_state map_named_predictors named_parameters named_predictors	parameters predictors reset_copy save set_lm show_source true show_root_heading true heading_level
/home/maxime/Projects/dspy/docs/docs/api/evaluation/SemanticF1.md	21	named_sub_modules	module	deepcopy dump_state forward get_lm inspect_history load load_state map_named_predictors named_parameters named_predictors	parameters predictors reset_copy save set_lm show_source true show_root_heading true heading_level
/home/maxime/Projects/dspy/docs/docs/api/index.md	3	modules	module	reference documentation This section provides detailed information about DSPy's classes	and functions
/home/maxime/Projects/dspy/docs/docs/api/index.md	3	functions	function	This section provides detailed information about DSPy's classes modules and	
/home/maxime/Projects/dspy/docs/docs/api/modules/BestOfN.md	3	module	module	BestOfN is an inference time scaling strategy that runs a	up to N times each with a distinct rollout at
/home/maxime/Projects/dspy/docs/docs/api/modules/BestOfN.md	23	named_sub_modules	module	deepcopy dump_state forward get_lm inspect_history load load_state map_named_predictors named_parameters named_predictors	parameters predictors reset_copy save set_lm show_source true show_root_heading true heading_level
/home/maxime/Projects/dspy/docs/docs/api/modules/BestOfN.md	55	module	module	pred answer split 1 else 0 0 best_of_3 dspy BestOfN	qa N 3 reward_fn one_word_answer threshold 1 0 result best_of_3
/home/maxime/Projects/dspy/docs/docs/api/modules/ChainOfThought.md	22	named_sub_modules	module	deepcopy dump_state forward get_lm inspect_history load load_state map_named_predictors named_parameters named_predictors	parameters predictors reset_copy save set_lm show_source true show_root_heading true heading_level
/home/maxime/Projects/dspy/docs/docs/api/modules/CodeAct.md	19	named_sub_modules	module	batch deepcopy dump_state get_lm inspect_history load load_state map_named_predictors named_parameters named_predictors	parameters predictors reset_copy save set_lm show_source true show_root_heading true heading_level
/home/maxime/Projects/dspy/docs/docs/api/modules/CodeAct.md	37	module	module	separate_signature false inherited_members true END_API_REF CodeAct CodeAct is a DSPy	that combines code generation with tool execution to solve problems
/home/maxime/Projects/dspy/docs/docs/api/modules/CodeAct.md	47	function	function	dspy from dspy predict import CodeAct Define a simple tool	def factorial n int int Calculate the factorial of a
/home/maxime/Projects/dspy/docs/docs/api/modules/CodeAct.md	74	functions	function	question based on the collected information Limitations Only accepts pure	as tools no callable objects The following example does not
/home/maxime/Projects/dspy/docs/docs/api/modules/CodeAct.md	101	functions	function	exp i dspy CodeAct question answer tools exp All dependent	need to be passed to CodeAct Functions that depend on
